index,number_depth,Posx (mm),Posy (mm),Posz (mm)
7284,30,-38.25240407067785,-26.153213597940493,46.21125862847913
7285,30,26.85705341771986,-40.0446742526049,201.7780598011531
7286,30,30.67470896807152,-35.172775181924145,211.8012750922195
7287,30,27.90616767798639,-39.94119959800885,61.835776321767284
7288,30,37.42751528284464,-31.66579006547353,64.08052017326474
7289,30,31.63571571705856,-38.90541418227236,73.18503930575734
7290,30,39.7929186145176,-30.9828624739982,75.78016646599201
7291,30,45.54432263370361,-27.160683754694247,111.6997731196374
7292,30,-43.68225575371064,-27.4372786066807,172.2540392810355
7293,30,35.71019190641735,-32.39036355816006,201.8157534141158
7294,30,38.57064335420655,-26.399364449747292,211.3737847189192
7295,30,33.82760911306283,-29.576909389891792,221.7179657793261
7296,30,-45.87877639119046,-26.85480376303106,144.2029862421651
7297,30,-43.53488050998671,-29.629348958442545,103.4643947485264
7298,30,-38.97535096305705,-34.48677206892712,93.5906646595618
7299,30,-30.29666162477514,-42.42077283624791,94.8014404979243
7300,30,-47.36633867223681,-23.948042146505944,113.0699313272596
7301,30,-40.29405896098179,-28.352305944333988,65.94993493973232
7302,30,16.9772822973143,-50.58803698570214,130.3609352526297
7303,20,4.209774979728407,-42.72764064407858,28.079425214597528
7304,20,-7.553726832372625,-41.84101072971459,26.082414501987124
7305,30,31.84892125043231,-42.63869979076948,141.8938879775343
7306,30,-45.70454406874752,-24.735662766065055,92.5894039509132
7307,30,-40.9681398205435,-24.988206467196665,203.3533396392347
7308,30,-37.50149361569549,-27.018748400565123,214.4809690832087
7309,30,44.21236079992627,-24.519194053409006,183.0640784602241
7310,30,-33.56482556950699,-38.713920144426346,83.82208778850895
7311,30,-46.68025575198933,-19.965856658415944,180.9978542420509
7312,30,-39.52021587703896,-34.15834111153424,163.6283419752707
7313,30,-30.85304513430561,-41.967732570829035,165.7699994282259
7314,30,34.85091941947093,-37.56591198036207,83.8665098353292
7315,30,42.63413314998807,-28.92818562528219,87.01158181520998
7316,30,46.45355346399556,-20.655457859820668,79.6733059628233
7317,30,25.45327926494679,-44.19910511607647,81.34794031534668
7318,30,-43.40952774002123,-17.1201294536669,211.8387340980939
7319,30,47.71510803755874,-19.323406538751527,173.4820776603697
7320,30,-46.25128362694865,-24.64252561499892,160.9841196198265
7321,30,43.35895748583798,-21.290892750043454,201.1696339399218
7322,30,43.49885337637443,-16.96489562869457,211.67786998736
7323,15,-20.89019698268549,-36.11599469754209,237.6162250281364
7324,15,-30.20827992426539,-29.528298344453912,235.210270189029
7325,30,48.04052934105264,-23.175373352037493,125.24043896090359
7326,30,44.46327650181679,-29.468710880771003,134.347707320616
7327,30,49.98151671999815,-18.612816139767773,135.1421698168141
7328,30,48.22194026221017,-19.256162657510934,91.9995971851756
7329,30,44.92765246258862,-26.926483160334136,98.5694429388836
7335,15,-25.86363713858464,-32.402173990496074,21.185757833022965
7336,20,-32.06849521933463,-28.926192435711528,29.308002207327903
7343,30,-48.83077024800291,-21.509398601287593,131.6626879396727
7350,30,49.02235218486186,-11.964517001481147,183.951442954703
7351,20,-37.46022857747829,-20.0491849824318,234.0563428877711
7352,30,-39.7470852217754,-19.90901378813735,224.2710470676923
7353,30,-44.31264572640442,-10.028518831389892,41.01613724670993
7354,30,-46.22345161766819,-10.605576177703263,52.92153145739162
7355,30,44.24690057152144,-10.111601466105355,40.76215731095557
7356,30,46.20403109922614,-10.407505673554493,52.51703423080539
7357,30,43.94607360522206,-20.14608240817792,59.10770796491725
7358,30,-49.47133311178902,-10.146774140175609,76.42003698254864
7359,30,49.44657538471306,-10.19160302563272,76.27803469277544
7360,30,-50.62571044824911,-10.048453610957077,88.09134698366972
7361,30,52.04958131267366,-10.210530271770455,112.0730694407647
7362,30,-52.03691788300177,-10.28083171780953,147.8945036007745
7364,30,-26.48741212892885,-45.625500410849206,105.3433251644868
7365,30,-52.32498573320425,-10.287568517096885,124.128788323247
7366,30,51.98509171149495,-10.51947987345046,148.0073305788672
7367,30,-50.58302680131833,-10.226160257273486,171.9917152478434
7368,30,-51.90300539614668,-10.950605601871866,112.1855437071139
7369,30,24.44611243380752,-45.46624524075709,171.8090687562076
7370,30,-15.72423975585043,-50.41579010349625,106.4770257788199
7371,30,14.16407455699731,-50.47577531887774,99.3251725594817
7372,30,-26.99694716425423,-43.498078285971886,176.6467620020799
7373,30,-24.04103079782181,-47.59020021846465,136.5835307962766
7374,30,-14.69519191015945,-50.48405022737841,158.0401046304568
7375,30,13.51566191221742,-49.8896440685195,171.0048433626397
7376,30,-43.76143568024353,-23.080327654310196,192.4266280269781
7377,30,-14.01058107779281,-42.21733868889442,35.87063097396495
7378,30,-44.95892625010305,-28.66232610041992,123.44209095030749
7379,30,45.81204310370389,-25.126182348633588,163.4235161681585
7380,30,-13.66166144791043,-49.615412796747464,86.31724214524927
7381,30,6.648977978369411,-47.693839489480204,57.79355011240503
7382,30,-16.455621392771,-48.31524639422326,178.2751690361554
